item_id,degree,strength,pozisyon_adi
4034742,664,902.4809201876571,Satış Pazarlama Elemanı
3980659,380,453.78763972737516,Mağaza Müdür Yardımcısı - Türkiye Geneli
3942810,241,444.3750552973702,Kabin Memuru - Tecrübesiz
4033886,164,435.4383686892317,Misafir Hizmetleri Memuru
4027375,367,408.4760441592454,Vertriebsmitarbeiter(İn)
2765370,245,396.96414977922166,Türkiye Geneli - Part Time Satış Danışmanı
3980672,264,387.4572682016326,Satış Danışmanı - Türkiye Geneli
3765658,252,339.4631882284108,Part Time - Mağaza Elemanı
4011592,224,333.80089324645576,Home Office Eğitim Danışmanı
4035569,210,280.1833879514612,360° Fotoğrafçılığı ve Mekan360 Bölge Ortağı 
4033943,189,248.76723941876782,Kategori/Ürün Satış Uzmanı
3350171,147,248.56071196796333,Müşteri Danışmanı - Part Time Tüm Türkiye
3936450,125,247.8692295652035,Çağrı Merkezi Müşteri Temsilcisi (Uzaktan)
4036262,85,241.3901305067076,Pdr Uzmanı
4021820,167,240.22162607518257,Çocuk Gelişimi Öğretmeni
3207003,176,230.39531829913878,Şoför / Sürücü
4023376,164,225.86233823156525,Part Time Saha Satış Destek Elemanı
4018882,158,216.91008032130264,Tıbbi Mümessil - OTC
3722004,174,212.78636841800397,Yurtiçi Tır Sürücü 
3534073,166,210.87626777277734,Yüksek Prim Fırsatı İle Saha Satış Temsilcisi 
