client_id,degree,strength
1453578787.170133,49,213.6841091531645
1050370281.1729356,19,166.37947080692246
1980056186.1732783,34,142.41232024455678
1933828474.1724913,28,115.16186894827474
1944241942.173572,30,114.00817391411071
1816825512.1727097,20,112.84209563673615
688733950.1723061,52,108.94156252177368
597497050.1734704,18,107.63855041809194
945980535.1735747,28,106.44314168120685
192515797.166219,33,105.38584126492906
174711932.1727718,30,104.45070135283127
985410611.1735667,32,97.63755653501187
1524055979.1721237,32,97.37599764568284
804489468.1719328,19,95.50080320311574
1584995204.1735728,17,92.03242870528149
971749416.1735741,33,91.84430527482468
99534788.17353763,27,88.25915679896444
788111066.1719263,26,82.80739737386752
790284959.1700348,20,78.68258843920673
61782813.17309287,22,77.95742365812568
